schidkn,pscore,classid,cs,female,nwhite,n
55,6.126464,16345,22,0,0,1
45,2.422761,13400,24,0,1,1
45,15.00301,13200,15,0,1,1
15,3.212884,4400,15,1,1,1
45,2.76844,13300,24,0,1,1
5,1.836341,1400,24,0,0,1
45,1.163502,13400,24,0,1,1
18,1.836341,5100,16,0,0,1
37,4.22523,10900,25,1,1,1
45,6.935106,13400,24,0,1,1
33,7.799304,9838,27,1,1,1
35,4.22523,10400,25,0,0,1
33,11.86103,9700,26,0,1,1
13,2.083255,3800,23,0,0,1
78,11.86103,22900,24,0,0,1
56,7.799304,16647,21,1,0,1
16,5.484489,4715,25,1,1,1
20,2.083255,5800,21,0,1,1
26,12.91659,7600,17,1,1,1
45,4.22523,13400,24,0,1,1
17,4.854859,4900,24,0,1,1
56,4.22523,16648,23,1,1,1
32,1.163502,9500,24,1,1,1
2,5.484489,400,16,0,1,1
61,2.422761,18061,17,0,0,1
16,6.126464,4600,26,1,1,1
28,11.86103,8126,15,0,1,1
64,5.484489,19055,21,0,0,1
32,15.00301,9329,16,0,1,1
5,4.854859,1500,21,1,0,1
45,1.669674,13400,24,1,1,1
9,5.484489,2610,21,0,0,1
28,4.22523,8126,15,0,1,1
55,3.72523,16345,22,0,0,1
16,7.799304,4600,26,0,1,1
45,1.367205,13400,24,0,1,1
38,6.935106,11200,17,0,0,1
57,2.422761,17000,20,0,0,1
28,8.731402,8126,15,0,1,1
53,8.731402,15700,23,1,0,1
16,1.836341,4714,26,0,1,1
56,2.76844,16647,21,0,0,1
32,2.129472,9328,16,1,1,1
9,1.262267,2713,21,1,0,1
45,2.422761,13200,15,0,1,1
56,4.772808,16700,23,0,1,1
70,1.809845,20769,16,1,0,1
32,10.28515,9328,16,1,1,1
50,6.032067,14700,17,0,0,1
76,2.383919,22668,22,1,0,1
33,1.914784,9700,26,1,1,1
22,7.482685,6422,20,0,1,1
39,6.032067,11437,12,0,0,1
12,2.630833,3400,14,1,0,1
59,6.674043,17456,13,0,0,1
26,11.35923,7700,20,1,1,1
28,6.032067,8100,15,1,1,1
45,4.272808,13400,24,1,1,1
25,3.316018,7300,22,0,1,1
43,1.914784,12600,15,0,1,1
7,8.346883,1904,14,0,0,1
7,2.069105,2107,23,1,1,1
74,8.346883,22100,25,0,1,1
73,7.482685,21600,15,0,0,1
59,2.970339,17500,17,0,0,1
45,4.272808,13200,15,1,1,1
57,3.316018,16900,19,1,1,1
53,4.272808,15700,23,0,0,1
28,2.217253,8127,15,0,1,1
29,6.674043,8500,21,1,1,1
52,1.914784,15400,20,1,0,1
45,4.272808,13300,24,1,1,1
79,3.760463,23300,22,0,0,1
16,2.383919,4600,26,0,1,1
26,11.35923,7600,17,1,1,1
16,5.402438,4513,17,0,1,1
32,25.8654,9328,16,0,1,1
63,9.278981,18751,22,1,1,1
28,12.40861,8233,23,1,1,1
28,7.482685,8126,15,0,1,1
14,17.7296,4100,21,0,1,1
2,6.674043,500,19,0,1,1
56,1.75429,16700,23,1,1,1
43,2.217253,12643,14,1,0,1
53,11.35923,15600,15,0,0,1
18,7.482685,5200,24,0,1,1
56,5.402438,16648,23,0,1,1
5,4.272808,1400,24,1,0,1
16,8.346883,4715,25,1,1,1
28,6.674043,8100,15,1,1,1
45,4.772808,13400,24,1,1,1
45,1.914784,13300,24,1,1,1
38,8.346883,11300,19,1,0,1
56,5.402438,16700,23,1,1,1
28,5.402438,8127,15,1,1,1
51,12.40861,15141,25,0,0,1
72,5.402438,21463,23,0,0,1
69,20.09997,20600,23,0,0,1
49,4.272808,14400,16,1,1,1
19,3.760463,5500,26,0,1,1
31,14.54441,9200,19,1,1,1
78,9.278981,23000,23,0,0,1
78,2.217253,22900,24,1,0,1
45,3.316018,13300,24,0,1,1
31,6.674043,9200,19,1,1,1
45,2.970339,13400,24,1,1,1
33,5.402438,9700,26,0,1,1
45,12.40861,13400,24,0,1,1
70,4.772808,20769,16,1,0,1
11,11.35923,3300,22,0,1,1
19,8.346883,5415,17,0,1,1
61,14.54441,18200,22,1,0,1
11,20.72664,3200,22,1,1,1
33,19.58467,9630,16,0,1,1
3,4.387136,701,15,1,0,1
22,14.09084,6525,20,0,1,1
46,6.658741,13700,23,0,1,1
79,4.387136,23200,22,1,0,1
34,21.86862,9900,15,1,0,1
75,13.03528,22366,23,0,0,1
28,16.17726,8335,23,1,1,1
68,11.9859,20260,22,0,0,1
16,14.09084,4600,26,0,1,1
6,7.300716,1700,18,1,0,1
56,4.899482,16648,23,1,1,1
19,29.72047,5500,26,0,1,1
62,4.899482,18500,23,1,0,1
8,4.387136,2400,23,1,0,1
56,8.973556,16647,21,1,0,1
28,3.597013,8334,22,1,1,1
72,14.09084,21464,22,1,0,1
66,11.9859,19757,24,0,0,1
22,14.09084,6525,20,0,1,1
78,3.257506,23000,23,1,0,1
33,4.477975,9700,26,1,1,1
74,17.1896,21976,16,1,1,1
16,20.72664,4600,26,0,1,1
27,24.2143,8032,25,1,1,1
2,8.973556,400,16,0,0,1
56,7.300716,16550,15,0,0,1
45,5.399482,13200,15,0,1,1
19,3.597013,5500,26,0,1,1
73,24.2143,21800,22,0,0,1
5,13.03528,1500,21,1,0,1
16,5.399482,4513,17,1,1,1
71,4.899482,21072,16,1,0,1
56,5.399482,16550,15,1,0,1
34,4.387136,9900,15,0,0,1
14,10.91183,4000,13,0,1,1
51,31.918,15000,16,1,0,1
79,8.109358,23300,22,1,0,1
66,9.905654,19565,14,0,0,1
45,6.658741,13300,24,0,1,1
24,5.399482,7000,21,1,1,1
16,20.72664,4714,26,1,1,1
5,5.399482,1400,24,1,0,1
35,10.91183,10200,17,1,0,1
73,20.72664,21675,13,1,0,1
28,28.60318,8233,23,0,1,1
76,7.300716,22579,17,1,0,1
37,15.17109,11039,24,0,0,1
28,6.658741,8100,15,1,1,1
48,6.029111,14300,21,0,0,1
56,11.9859,16550,15,0,0,1
20,14.09084,5900,21,0,1,1
51,2.311004,15048,17,1,0,1
56,2.843926,16648,23,1,0,1
2,5.399482,500,19,0,1,1
25,3.942691,7200,17,0,1,1
5,16.17726,1400,24,1,0,1
56,3.257506,16648,23,1,1,1
18,29.72047,5300,22,1,1,1
56,3.257506,16700,23,0,0,1
35,4.899482,10300,24,1,0,1
71,15.17109,21100,24,1,0,1
55,3.010593,16400,21,1,0,1
31,8.973556,9200,19,1,1,1
80,10.91183,23500,21,0,0,1
2,7.300716,400,16,1,0,1
32,6.029111,9500,24,1,1,1
16,3.597013,4714,26,0,1,1
2,6.029111,400,16,0,1,1
5,5.399482,1300,16,0,0,1
24,3.257506,7000,21,1,1,1
5,8.109358,1500,21,0,0,1
45,4.387136,13300,24,0,1,1
78,8.109358,23000,23,1,0,1
74,7.300716,22000,24,1,0,1
35,3.486725,10400,25,0,0,1
3,8.900305,701,15,0,0,1
20,11.70277,5919,21,0,1,1
24,16.96821,7100,18,0,1,1
33,5.178082,9838,27,0,1,1
33,6.190428,9700,26,1,1,1
79,6.820058,23180,15,0,0,1
28,6.820058,8334,22,1,1,1
63,19.14722,18751,22,1,0,1
10,4.733638,3000,22,0,0,1
66,8.091663,19757,24,1,0,1
78,8.900305,23000,23,1,0,1
25,6.059869,7300,22,1,1,1
27,43.25833,8032,25,0,1,1
80,10.6966,23600,21,0,0,1
70,14.88179,20961,24,1,0,1
28,10.6966,8127,15,1,1,1
32,28.30771,9536,22,1,1,1
1,7.449687,200,20,1,1,1
32,10.6966,9500,24,1,1,1
2,4.733638,400,16,1,1,1
27,25.00524,7929,26,1,1,1
61,14.88179,18100,20,1,0,1
2,5.690428,400,16,1,0,1
24,21.51759,6921,14,1,1,1
73,8.900305,21675,13,0,0,1
28,6.190428,8233,23,0,1,1
39,11.70277,11600,19,1,0,1
71,6.820058,21200,24,1,0,1
56,8.091663,16648,23,0,0,1
56,3.227465,16700,23,0,0,1
57,3.486725,17000,20,1,0,1
54,20.37561,16100,22,0,1,1
34,17.98055,10000,19,1,0,1
64,8.900305,19056,19,1,0,1
33,15.96203,9838,27,1,1,1
42,6.059869,12300,17,0,0,1
78,14.88179,23000,23,0,0,1
39,4.387959,11600,19,1,0,1
17,16.96821,4900,24,0,1,1
53,5.690428,15600,15,0,0,1
3,7.449687,702,16,1,0,1
45,8.900305,13300,24,1,1,1
34,6.820058,10100,20,0,0,1
22,4.387959,6422,20,0,1,1
7,15.96203,2004,23,1,0,1
71,6.820058,21100,24,1,0,1
56,3.104008,16700,23,0,0,1
45,4.733638,13300,24,0,1,1
22,13.82623,6423,22,1,1,1
18,5.690428,5216,25,0,1,1
71,5.690428,21100,24,1,0,1
50,4.733638,14700,17,0,0,1
26,4.733638,7500,17,0,1,1
56,6.820058,16648,23,1,0,1
16,13.82623,4714,26,0,1,1
51,8.900305,15141,25,1,0,1
32,12.77685,9500,24,0,1,1
48,8.900305,14146,12,1,0,1
59,5.178082,17456,13,0,0,1
53,14.88179,15700,23,0,0,1
36,9.764503,10532,13,0,0,1
1,7.449687,201,20,0,1,1
60,6.820058,17900,21,1,0,1
15,11.70277,4300,19,0,1,1
5,21.51759,1500,21,1,0,1
16,6.190428,4714,26,0,1,1
61,25.00524,18200,22,0,0,1
36,9.764503,10600,23,0,0,1
7,5.178082,2004,23,0,0,1
56,6.190428,16648,23,1,0,1
44,4.387959,13100,23,0,1,1
2,12.77685,500,19,0,1,1
8,19.14722,2309,25,1,0,1
37,15.96203,10834,16,0,1,1
50,20.37561,14747,16,1,0,1
7,8.091663,1903,17,1,0,1
4,6.820058,1200,24,1,0,1
22,6.820058,6525,20,1,1,1
49,5.690428,14500,22,0,0,1
66,13.82623,19757,24,1,0,1
60,3.227465,17800,25,0,0,1
51,12.77685,15243,24,1,1,1
45,19.14722,13400,24,0,1,1
56,7.449687,16551,16,0,0,1
17,13.82623,4800,15,1,1,1
20,14.88179,5800,21,0,1,1
33,31.5608,9600,15,0,1,1
6,9.764503,1800,23,0,0,1
33,5.178082,9700,26,1,1,1
51,4.387959,15243,24,1,0,1
16,5.178082,4715,25,0,1,1
17,5.178082,4800,15,0,1,1
78,7.449687,22800,14,1,0,1
4,39.25833,1100,23,1,0,1
19,14.88179,5500,26,0,1,1
60,9.873777,17759,15,0,0,1
45,9.065136,13300,24,0,1,1
56,8.423161,16551,16,1,0,1
64,16.9355,19100,23,1,0,1
57,13.75032,17000,20,0,0,1
28,11.67007,8334,22,0,1,1
56,8.423161,16700,23,0,1,1
7,4.200938,1904,14,0,0,1
74,10.73798,22000,24,1,0,1
19,6.151555,5500,26,0,1,1
7,8.423161,1903,17,0,0,1
16,5.361432,4512,17,1,1,1
56,18.95402,16550,15,1,1,1
55,12.67625,16346,23,0,0,1
25,9.065136,7300,22,1,0,1
34,9.873777,10100,20,0,0,1
32,12.67625,9329,16,1,1,1
5,8.423161,1400,24,1,0,1
6,22.49106,1800,23,0,0,1
16,7.79353,4600,26,0,1,1
9,7.163901,2712,21,1,0,1
42,12.67625,12342,16,0,0,1
66,20.12069,19600,21,1,0,1
56,4.608345,16551,16,1,1,1
8,18.95402,2400,23,0,0,1
78,6.151555,23000,23,0,0,1
16,16.9355,4513,17,0,1,1
6,5.021925,1700,18,0,0,1
70,11.67007,20962,23,0,0,1
56,6.151555,16648,23,0,1,1
50,15.85526,14800,24,0,0,1
58,27.10835,17349,24,1,0,1
57,7.79353,16853,12,1,1,1
8,16.9355,2205,16,1,0,1
5,12.67625,1400,24,0,0,1
18,12.67625,5100,16,0,1,1
38,37.70094,11300,19,0,0,1
16,6.663901,4513,17,0,1,1
22,8.423161,6526,22,1,1,1
27,20.12069,7929,26,1,1,1
19,14.7997,5500,26,1,1,1
33,4.775012,9700,26,1,1,1
73,24.83674,21675,13,0,0,1
8,5.021925,2400,23,1,0,1
60,16.9355,17900,21,1,1,1
70,15.85526,20961,24,1,0,1
55,15.85526,16200,13,0,0,1
16,12.67625,4715,25,1,1,1
51,15.85526,15142,22,0,1,1
70,11.67007,20800,24,0,0,1
16,6.663901,4715,25,1,1,1
12,12.67625,3600,23,0,0,1
24,12.67625,7100,18,1,1,1
71,12.67625,21100,24,0,0,1
32,9.065136,9500,24,1,1,1
15,29.28119,4211,12,0,1,1
18,14.7997,5300,22,1,1,1
20,6.151555,5800,21,0,1,1
26,7.163901,7500,17,1,1,1
31,4.608345,9100,21,1,1,1
45,6.151555,13300,24,1,1,1
26,12.67625,7600,17,0,1,1
9,12.67625,2712,21,0,0,1
24,11.67007,7000,21,0,1,1
45,4.775012,13200,15,0,1,1
60,7.163901,17759,15,1,0,1
33,5.361432,9700,26,1,1,1
79,6.151555,23300,22,0,0,1
25,7.163901,7300,22,0,1,1
16,13.75032,4714,26,1,1,1
22,18.95402,6526,22,1,1,1
15,16.9355,4210,13,1,1,1
8,12.67625,2308,24,1,1,1
40,34.94168,11800,22,0,0,1
53,8.423161,15600,15,0,0,1
56,6.151555,16648,23,0,0,1
75,8.423161,22200,16,0,0,1
73,27.10835,21800,22,1,0,1
66,14.7997,19757,24,0,0,1
58,35.94168,17350,22,0,0,1
18,9.065136,5200,24,0,1,1
56,5.707111,16647,21,0,1,1
20,7.163901,5800,21,0,1,1
15,10.73798,4300,19,0,1,1
76,7.163901,22579,17,0,0,1
45,18.95402,13300,24,0,1,1
2,22.49106,500,19,0,1,1
78,23.63304,22900,24,0,0,1
38,7.79353,11300,19,0,0,1
70,7.163901,20769,16,1,0,1
56,17.94168,16647,21,0,0,1
71,6.151555,21200,24,0,0,1
35,23.63304,10400,25,0,0,1
33,7.79353,9838,27,1,1,1
45,7.163901,13400,24,0,1,1
16,5.361432,4715,25,0,1,1
31,18.95402,9100,21,0,1,1
56,4.460197,16648,23,0,0,1
75,4.145382,22367,24,0,0,1
33,21.34908,9630,16,0,1,1
26,22.49106,7700,20,0,1,1
40,34.94168,11900,23,1,0,1
33,7.163901,9838,27,1,1,1
19,9.065136,5415,17,1,1,1
28,20.12069,8335,23,0,1,1
80,18.95402,23600,21,1,0,1
26,6.151555,7500,17,0,1,1
22,17.94168,6423,22,1,1,1
60,7.163901,17759,15,0,0,1
7,9.873777,2106,24,1,1,1
35,27.10835,10300,24,0,0,1
17,7.163901,4800,15,1,0,1
16,14.7997,4600,26,1,1,1
28,7.79353,8200,24,0,1,1
33,18.07325,9838,27,0,1,1
60,21.25844,17900,21,0,0,1
29,48.39424,8600,19,0,1,1
69,13.81399,20400,14,0,0,1
33,14.88807,9630,16,0,1,1
22,7.801647,6422,20,0,1,1
33,24.77078,9838,27,0,1,1
56,11.87572,16648,23,1,0,1
16,11.87572,4600,26,0,1,1
9,21.25844,2610,21,1,0,1
66,9.560906,19757,24,0,0,1
72,7.801647,21464,22,1,0,1
56,7.289301,16647,21,0,0,1
37,16.993,10834,16,1,0,1
47,16.993,14000,26,1,0,1
73,13.81399,21600,15,1,0,1
33,24.77078,9837,27,1,1,1
48,11.01152,14146,12,0,0,1
5,7.289301,1400,24,1,0,1
75,27.11646,22367,24,0,0,1
24,28.24609,7100,18,1,1,1
18,38.83868,5300,22,0,1,1
43,30.41893,12800,23,1,0,1
55,25.97449,16346,23,0,0,1
24,16.993,6921,14,0,1,1
56,11.87572,16550,15,0,0,1
72,22.48683,21463,23,0,0,1
57,12.80782,16900,19,0,0,1
18,30.41893,5216,25,0,0,1
19,8.931276,5416,16,0,1,1
20,11.01152,5900,21,0,1,1
15,14.88807,4210,13,0,1,1
8,16.993,2308,24,1,0,1
16,12.80782,4714,26,0,1,1
8,11.87572,2308,24,0,0,1
71,11.87572,21072,16,0,0,1
60,25.97449,17759,15,0,1,1
10,21.25844,3000,22,1,1,1
2,10.20288,500,19,0,0,1
22,7.801647,6318,16,0,1,1
66,8.931276,19600,21,0,0,1
26,18.07325,7600,17,1,1,1
53,6.499178,15600,15,0,0,1
56,29.39424,16550,15,1,0,1
45,16.993,13200,15,0,1,1
78,8.301647,22900,24,0,0,1
2,8.931276,600,19,1,1,1
80,13.81399,23500,21,0,0,1
56,13.81399,16550,15,1,0,1
2,11.87572,400,16,1,1,1
19,13.81399,5500,26,0,1,1
55,8.301647,16345,22,1,0,1
7,37.90659,1904,14,0,0,1
32,6.159672,9536,22,0,1,1
33,18.07325,9630,16,1,1,1
22,13.81399,6422,20,0,1,1
71,12.80782,21071,17,0,0,1
38,32.62263,11200,17,0,0,1
16,23.62881,4715,25,0,1,1
56,11.87572,16647,21,0,0,1
35,16.993,10300,24,1,0,1
62,14.88807,18400,24,1,0,1
45,9.560906,13300,24,0,1,1
66,25.97449,19758,22,0,1,1
22,14.88807,6525,20,1,1,1
27,14.88807,7929,26,0,1,1
22,7.289301,6318,16,0,1,1
26,7.289301,7500,17,0,1,1
64,8.301647,19100,23,0,0,1
72,8.301647,21463,23,0,0,1
64,21.25844,19100,23,0,0,1
26,43.89424,7600,17,1,1,1
39,11.01152,11436,12,0,0,1
16,9.560906,4714,26,0,1,1
7,11.01152,1903,17,1,0,1
46,10.20288,13500,17,0,0,1
57,11.01152,16853,12,0,0,1
42,24.77078,12342,16,1,1,1
8,11.87572,2206,17,0,0,1
27,10.28231,7929,26,0,1,1
22,7.289301,6422,20,0,1,1
50,14.88807,14800,24,1,0,1
20,23.62881,5900,21,0,1,1
7,11.87572,2004,23,0,0,1
16,9.560906,4512,17,1,1,1
71,7.289301,21200,24,0,0,1
2,11.87572,600,19,1,0,1
47,16.993,13900,24,0,0,1
22,21.25844,6423,22,1,1,1
25,16.993,7200,17,1,1,1
2,10.20288,400,16,0,0,1
46,7.801647,13700,23,0,0,1
4,21.25844,1200,24,0,0,1
28,9.560906,8334,22,0,1,1
54,19.07943,15900,15,0,0,1
52,20.09177,15300,13,0,0,1
58,29.39424,17349,24,0,0,1
56,20.09177,16700,23,0,0,1
71,7.289301,21100,24,1,0,1
34,16.993,10000,19,0,0,1
74,5.912758,22000,24,1,0,1
33,25.97449,9838,27,0,1,1
16,11.87572,4600,26,1,1,1
53,15.93745,15600,15,1,1,1
56,24.77078,16648,23,0,1,1
28,13.81399,8334,22,0,1,1
1,6.844857,300,20,1,0,1
7,27.11646,2106,24,0,0,1
63,25.97449,18751,22,1,0,1
2,13.81399,500,19,0,0,1
62,11.87572,18300,17,0,0,1
70,13.81399,20961,24,0,0,1
60,11.01152,17800,25,1,0,1
22,8.301647,6423,22,1,1,1
5,5.746092,1400,24,0,0,1
29,16.993,8600,19,1,1,1
37,12.80782,10834,16,1,1,1
66,20.09177,19600,21,0,0,1
35,8.301647,10400,25,1,0,1
55,9.560906,16200,13,1,0,1
42,7.289301,12500,24,1,1,1
28,13.81399,8334,22,0,1,1
62,11.87572,18400,24,0,0,1
33,36.07943,9600,15,1,1,1
7,23.62881,2107,23,1,0,1
60,9.560906,17800,25,0,0,1
16,8.931276,4600,26,1,1,1
29,12.80782,8500,21,0,1,1
57,9.560906,16900,19,0,1,1
59,8.301647,17600,17,0,0,1
16,16.993,4715,25,1,1,1
45,8.931276,13200,15,1,1,1
9,19.07943,2713,21,1,0,1
28,12.80782,8126,15,1,1,1
7,30.41893,2106,24,0,0,1
80,6.499178,23500,21,0,0,1
33,6.844857,9700,26,0,1,1
72,14.88807,21463,23,0,0,1
16,10.20288,4715,25,0,1,1
70,7.289301,20769,16,1,0,1
79,21.25844,23181,14,0,0,1
44,26.10322,13100,23,0,1,1
32,12.94719,9500,24,0,1,1
28,30.72668,8334,22,0,1,1
45,13.20816,13300,24,1,1,1
56,6.776064,16647,21,1,0,1
28,9.634089,8100,15,0,1,1
34,33.95508,9931,15,0,0,1
66,35.00446,19757,24,1,0,1
66,41.07853,19758,22,0,0,1
55,14.14026,16345,22,1,0,1
32,12.34397,9500,24,1,1,1
18,10.89335,5100,16,1,1,1
64,14.14026,19055,21,0,0,1
29,9.634089,8500,21,0,1,1
37,24.96125,10834,16,0,1,1
55,8.621742,16345,22,0,0,1
36,31.75137,10533,14,0,0,1
50,14.14026,14800,24,1,0,1
45,20.41187,13300,24,0,1,1
1,19.40569,201,20,0,0,1
60,19.40569,17759,15,0,0,1
71,9.634089,21200,24,1,0,1
32,33.95508,9328,16,1,1,1
16,7.2452,4600,26,0,1,1
32,20.41187,9500,24,1,1,1
19,19.40569,5415,17,1,1,1
35,30.72668,10300,24,0,1,1
19,9.134089,5500,26,0,1,1
46,29.57853,13700,23,0,0,1
15,15.14643,4210,13,1,1,1
24,30.72668,6922,14,1,1,1
56,7.492113,16550,15,0,0,1
60,30.72668,17900,21,0,0,1
26,45.94273,7700,20,0,1,1
36,15.14643,10532,13,1,0,1
18,33.95508,5216,25,0,1,1
26,24.96125,7600,17,1,1,1
33,38.41187,9600,15,0,1,1
27,38.41187,7929,26,0,1,1
68,7.831619,20300,27,1,0,1
70,14.14026,20770,16,0,0,1
48,9.134089,14300,21,1,0,1
7,24.96125,2005,24,1,1,1
16,9.634089,4714,26,0,1,1
54,15.14643,16000,21,0,1,1
48,13.20816,14300,21,1,0,1
22,13.20816,6423,22,1,1,1
34,14.14026,9900,15,0,0,1
42,22.59088,12500,24,1,0,1
16,19.40569,4512,17,1,1,1
16,8.177299,4714,26,0,1,1
34,8.621742,10100,20,0,0,1
16,14.14026,4513,17,1,1,1
18,10.26372,5216,25,0,0,1
54,11.53532,16100,22,1,0,1
22,26.10322,6424,22,0,1,1
9,21.42421,2713,21,0,0,1
32,9.634089,9328,16,0,1,1
66,24.96125,19600,21,1,0,1
74,28.4489,21976,16,0,1,1
18,6.930385,5216,25,0,1,1
70,6.930385,20962,23,0,0,1
33,22.59088,9630,16,0,1,1
32,9.634089,9329,16,0,1,1
57,19.40569,16852,13,0,0,1
70,15.14643,20962,23,0,0,1
6,14.14026,1700,18,1,0,1
14,22.59088,4100,21,1,1,1
80,7.831619,23600,21,0,0,1
2,7.831619,500,19,0,1,1
46,16.22051,13600,24,1,0,1
29,15.14643,8500,21,1,1,1
5,19.40569,1300,16,1,1,1
74,23.81927,22100,25,0,0,1
15,16.22051,4300,19,1,1,1
7,12.34397,2004,23,0,0,1
37,22.59088,10900,25,1,0,1
46,19.40569,13700,23,1,0,1
79,23.81927,23200,22,0,0,1
35,12.34397,10300,24,0,0,1
40,27.30693,11739,12,1,0,1
22,33.95508,6526,22,0,1,1
6,17.26989,1800,23,1,0,1
16,16.22051,4600,26,0,1,1
8,11.53532,2309,25,1,0,1
16,10.89335,4714,26,0,1,1
33,7.831619,9700,26,0,1,1
61,24.96125,18200,22,0,0,1
27,41.07853,8031,25,1,1,1
5,21.42421,1400,24,1,0,1
19,13.20816,5617,22,0,1,1
22,9.634089,6423,22,0,1,1
16,17.26989,4513,17,1,1,1
16,13.20816,4714,26,0,1,1
75,13.20816,22200,16,1,0,1
6,13.20816,1700,18,0,0,1
66,22.59088,19600,21,0,0,1
28,22.59088,8100,15,1,1,1
24,10.89335,7100,18,1,1,1
56,17.26989,16550,15,1,0,1
51,33.95508,15000,16,1,0,1
22,9.634089,6525,20,0,1,1
28,12.34397,8100,15,0,1,1
20,31.75137,5900,21,0,1,1
56,7.2452,16700,23,0,0,1
14,24.96125,4100,21,0,1,1
32,8.177299,9536,22,0,1,1
35,10.89335,10300,24,0,0,1
32,24.96125,9328,16,0,1,1
51,19.40569,15243,24,0,0,1
32,13.20816,9536,22,1,1,1
18,10.89335,5216,25,1,1,1
60,18.32545,17758,16,1,0,1
44,18.32545,13100,23,1,0,1
32,8.621742,9536,22,1,1,1
63,10.26372,18853,21,0,1,1
35,9.134089,10300,24,1,0,1
34,13.20816,9931,15,0,0,1
16,21.42421,4715,25,1,1,1
67,19.40569,19800,13,0,0,1
4,17.26989,1100,23,0,0,1
73,19.40569,21675,13,1,0,1
9,12.34397,2509,12,0,0,1
60,12.34397,17800,25,0,0,1
42,22.59088,12342,16,1,0,1
7,6.930385,2106,24,1,0,1
63,12.34397,18854,22,1,0,1
38,21.42421,11300,19,1,0,1
25,13.20816,7200,17,0,0,1
17,12.34397,5000,24,0,1,1
33,15.14643,9630,16,1,1,1
8,9.634089,2308,24,0,0,1
28,19.40569,8335,23,0,1,1
64,29.57853,19100,23,1,0,1
11,36.15261,3200,22,1,1,1
29,27.30693,8500,21,1,1,1
33,23.81927,9837,27,1,1,1
6,26.10322,1600,13,0,0,1
66,13.20816,19600,21,1,0,1
9,18.32545,2611,22,0,0,1
25,17.26989,7400,27,1,1,1
55,13.20816,16200,13,0,0,1
19,9.134089,5618,26,0,1,1
63,22.59088,18853,21,1,0,1
16,23.81927,4600,26,1,1,1
28,20.41187,8335,23,1,1,1
75,8.621742,22366,23,0,0,1
57,12.34397,16852,13,0,1,1
2,18.32545,500,19,0,0,1
23,6.61557,6620,15,0,1,1
76,9.134089,22579,17,1,0,1
